Top Level Branch,Top Level Sold To,Zone,Top Level Order,Top Level Line,Last Next Status,Shipment Number(s),TL SO Alert,ECD,ECD Notes,Line Creation,Top Level Type,Schedule Pick Date,Promised Delivery Date,Top Level Item,Supply Item Description,SRP1,SC Rep,Line Amount,Region Zone
Branch 2,Customer_3576,East,ORD158979,LINE799895,On Hold,SHP314852,,2022-09-19,raw material shortage,2022-08-31,Type 2,2022-09-02,2022-09-15,Product_6777,Description of item,159.73,Rep D,2875.06,Zone B
Branch 4,Customer_1644,East,ORD252656,LINE473429,On Hold,SHP401791,,2023-08-16,inventory mismatch,2023-07-29,Type 1,2023-07-31,2023-08-03,Product_1607,Description of item,283.76,Rep C,9995.55,Zone A
Branch 2,Customer_3408,North,ORD863953,LINE512843,Shipped,SHP559880,URGENT,2024-02-19,on track,2024-01-30,Type 1,2024-02-01,2024-02-21,Product_6848,Description of item,475.62,Rep B,1437.94,Zone C
Branch 4,Customer_2533,South,ORD531046,LINE513267,On Hold,SHP822748,,2020-09-16,on track,2020-09-03,Type 3,2020-09-05,2020-09-16,Product_10158,Description of item,390.13,Rep D,3623.18,Zone D
Branch 2,Customer_9290,West,ORD855247,LINE323042,Delivered,SHP782314,,2022-08-23,raw material shortage,2022-07-22,Type 2,2022-07-24,2022-08-10,Product_6986,Description of item,73.31,Rep C,4115.43,Zone A
Branch 2,Customer_7750,South,ORD336755,LINE214106,On Hold,SHP539273,,2020-11-06,COVID-19 disruption,2020-10-13,Type 2,2020-10-15,2020-10-18,Product_11181,Description of item,375.56,Rep C,9512.23,Zone C
Branch 2,Customer_1829,North,ORD488477,LINE267175,Processing,SHP494544,,2022-01-29,inflation impact,2022-01-05,Type 3,2022-01-07,2022-01-19,Product_1693,Description of item,414.49,Rep D,6260.99,Zone A
Branch 3,Customer_2615,West,ORD574134,LINE747905,Shipped,SHP153922,URGENT,2020-12-24,on track,2020-12-12,Type 2,2020-12-14,2020-12-25,Product_2389,Description of item,116.58,Rep D,7391.35,Zone B
Branch 1,Customer_5622,North,ORD531204,LINE785121,On Hold,SHP765474,,2022-11-20,on track,2022-11-16,Type 2,2022-11-18,2022-11-21,Product_11640,Description of item,220.05,Rep C,4393.18,Zone A
Branch 3,Customer_9878,North,ORD359574,LINE577238,Shipped,SHP200289,,2025-03-10,other issue,2025-02-20,Type 2,2025-02-22,2025-02-26,Product_4879,Description of item,464.35,Rep A,7776.94,Zone D
Branch 3,Customer_8108,North,ORD415353,LINE564940,Delivered,SHP577175,,2021-06-09,on track,2021-05-19,Type 2,2021-05-21,2021-06-09,Product_3444,Description of item,437.26,Rep C,2302.85,Zone A
Branch 2,Customer_9828,West,ORD395659,LINE835652,Processing,SHP509208,,2022-04-22,supplier price changes,2022-03-25,Type 1,2022-03-27,2022-04-19,Product_9423,Description of item,147.43,Rep D,728.41,Zone B
Branch 4,Customer_2696,West,ORD909004,LINE812515,Delivered,SHP655588,,2021-03-21,on track,2021-03-12,Type 2,2021-03-14,2021-03-21,Product_4187,Description of item,188.69,Rep B,5444.28,Zone A
Branch 2,Customer_8136,South,ORD905299,LINE357912,Processing,SHP997735,,2022-01-25,labor shortage,2021-12-21,Type 2,2021-12-23,2022-01-16,Product_10576,Description of item,24.38,Rep C,8296.59,Zone C
Branch 2,Customer_7851,West,ORD467211,LINE521684,Delivered,SHP978640,,2020-08-26,COVID-19 disruption,2020-08-05,Type 2,2020-08-07,2020-08-10,Product_6129,Description of item,43.72,Rep C,7260.47,Zone D
Branch 1,Customer_6344,East,ORD295418,LINE932435,Processing,SHP217666,,2021-10-03,customs backlog,2021-09-09,Type 3,2021-09-11,2021-09-20,Product_5328,Description of item,280.0,Rep C,3238.96,Zone C
Branch 4,Customer_2729,West,ORD948607,LINE115649,Shipped,SHP531791,,2023-04-14,on track,2023-04-02,Type 2,2023-04-04,2023-04-15,Product_7383,Description of item,297.34,Rep A,1196.44,Zone A
Branch 4,Customer_2322,North,ORD245638,LINE807003,Shipped,SHP983564,URGENT,2024-09-09,holiday backlog,2024-07-26,Type 3,2024-07-28,2024-08-23,Product_2254,Description of item,233.29,Rep C,1416.12,Zone A
Branch 2,Customer_7870,East,ORD413115,LINE537626,On Hold,SHP752578,,2023-03-07,QA inspection delays,2023-01-26,Type 2,2023-01-28,2023-02-18,Product_6201,Description of item,182.95,Rep A,8797.98,Zone A
Branch 3,Customer_5721,North,ORD165540,LINE846395,On Hold,SHP365103,,2024-02-25,demand surge,2024-02-01,Type 3,2024-02-03,2024-02-11,Product_3926,Description of item,61.92,Rep C,4193.33,Zone B
Branch 2,Customer_2695,South,ORD443723,LINE211987,Shipped,SHP269625,,2020-05-21,on track,2020-04-29,Type 3,2020-05-01,2020-05-23,Product_286,Description of item,149.8,Rep D,8427.54,Zone B
Branch 4,Customer_7194,South,ORD876658,LINE451303,On Hold,SHP281382,,2024-01-14,inventory mismatch,2023-12-06,Type 2,2023-12-08,2023-12-31,Product_8519,Description of item,182.27,Rep A,8519.61,Zone D
Branch 2,Customer_3728,East,ORD898271,LINE599449,Processing,SHP397561,URGENT,2021-03-02,customs backlog,2021-02-03,Type 1,2021-02-05,2021-02-21,Product_8423,Description of item,424.82,Rep C,2103.68,Zone D
Branch 4,Customer_8698,West,ORD413410,LINE945752,Delivered,SHP145926,,2020-12-31,COVID-19 disruption,2020-12-07,Type 1,2020-12-09,2020-12-29,Product_3391,Description of item,222.95,Rep A,1320.9,Zone A
Branch 4,Customer_2266,East,ORD376080,LINE220566,Processing,SHP250665,,2021-07-07,shipping container shortage,2021-06-12,Type 1,2021-06-14,2021-07-03,Product_394,Description of item,219.88,Rep D,4180.39,Zone C
Branch 4,Customer_7869,North,ORD660225,LINE519814,Delivered,SHP197060,,2021-02-08,shipping container shortage,2021-01-15,Type 3,2021-01-17,2021-02-07,Product_3115,Description of item,479.93,Rep C,2349.49,Zone C
Branch 1,Customer_8625,West,ORD111551,LINE409478,Delivered,SHP365965,URGENT,2022-11-13,supplier price changes,2022-10-12,Type 2,2022-10-14,2022-11-04,Product_9988,Description of item,34.77,Rep C,8218.49,Zone C
Branch 3,Customer_2531,East,ORD349861,LINE979981,Processing,SHP114152,,2023-12-20,severe weather,2023-12-04,Type 1,2023-12-06,2023-12-12,Product_10952,Description of item,49.46,Rep D,7861.42,Zone C
Branch 1,Customer_6916,East,ORD682462,LINE424876,Shipped,SHP243937,URGENT,2024-05-29,on track,2024-05-10,Type 3,2024-05-12,2024-05-29,Product_8277,Description of item,309.68,Rep B,1005.95,Zone A
Branch 3,Customer_3593,South,ORD106024,LINE735460,Delivered,SHP370979,,2022-10-28,supplier price changes,2022-10-12,Type 1,2022-10-14,2022-10-27,Product_2920,Description of item,101.07,Rep D,6324.43,Zone B
Branch 4,Customer_6238,North,ORD132182,LINE471114,Processing,SHP978762,URGENT,2022-02-05,inflation impact,2022-01-24,Type 3,2022-01-26,2022-01-30,Product_9501,Description of item,449.27,Rep D,8131.28,Zone B
Branch 1,Customer_1140,West,ORD415395,LINE752031,On Hold,SHP287203,URGENT,2023-06-21,on track,2023-05-30,Type 3,2023-06-01,2023-06-23,Product_7340,Description of item,44.26,Rep D,3269.03,Zone C
Branch 4,Customer_6116,East,ORD423055,LINE184878,Delivered,SHP862742,,2024-04-03,on track,2024-03-20,Type 3,2024-03-22,2024-04-03,Product_11513,Description of item,69.24,Rep D,3989.32,Zone D
Branch 3,Customer_3562,West,ORD502674,LINE325630,Processing,SHP364713,,2023-03-22,inventory mismatch,2023-02-09,Type 2,2023-02-11,2023-03-04,Product_8638,Description of item,427.53,Rep A,5229.7,Zone A
Branch 2,Customer_1558,West,ORD927236,LINE699634,Processing,SHP162047,,2022-06-03,raw material shortage,2022-04-28,Type 2,2022-04-30,2022-05-22,Product_9090,Description of item,393.65,Rep C,9023.5,Zone A
Branch 2,Customer_5465,South,ORD116862,LINE103112,Processing,SHP457286,,2022-09-11,supplier price changes,2022-08-13,Type 2,2022-08-15,2022-08-24,Product_5453,Description of item,109.37,Rep B,7308.25,Zone B
Branch 3,Customer_7370,East,ORD873713,LINE750003,Processing,SHP735447,,2021-05-08,labor shortage,2021-04-15,Type 3,2021-04-17,2021-04-26,Product_1301,Description of item,419.68,Rep D,4071.5,Zone D
Branch 2,Customer_9317,East,ORD649289,LINE743589,Shipped,SHP289756,URGENT,2022-10-08,on track,2022-09-14,Type 2,2022-09-16,2022-10-10,Product_1144,Description of item,101.18,Rep B,1740.1,Zone A
Branch 2,Customer_5804,North,ORD945876,LINE838570,Delivered,SHP771981,,2021-09-20,shipping container shortage,2021-08-27,Type 1,2021-08-29,2021-09-07,Product_10170,Description of item,254.04,Rep D,8490.37,Zone D
Branch 2,Customer_1383,North,ORD144560,LINE778847,Processing,SHP215681,,2020-09-16,factory shutdown,2020-09-03,Type 2,2020-09-05,2020-09-13,Product_7973,Description of item,103.81,Rep A,3115.73,Zone B
Branch 1,Customer_9073,North,ORD829178,LINE444273,Shipped,SHP359985,URGENT,2022-05-17,on track,2022-05-07,Type 1,2022-05-09,2022-05-19,Product_3829,Description of item,316.56,Rep D,2221.4,Zone D
Branch 4,Customer_1399,South,ORD708496,LINE595964,Delivered,SHP249134,,2024-05-18,holiday backlog,2024-04-12,Type 3,2024-04-14,2024-04-29,Product_3701,Description of item,390.62,Rep D,1611.22,Zone B
Branch 2,Customer_5360,East,ORD273500,LINE442751,Processing,SHP307140,,2024-08-20,on track,2024-07-30,Type 2,2024-08-01,2024-08-21,Product_2561,Description of item,486.75,Rep B,8080.7,Zone C
Branch 3,Customer_7560,South,ORD320474,LINE354665,On Hold,SHP799332,,2023-01-23,raw material shortage,2022-12-14,Type 3,2022-12-16,2023-01-06,Product_3786,Description of item,238.23,Rep A,9699.09,Zone B
Branch 3,Customer_3527,East,ORD364164,LINE625283,Delivered,SHP564625,,2022-11-13,supplier price changes,2022-10-12,Type 3,2022-10-14,2022-10-29,Product_10523,Description of item,365.58,Rep B,2224.73,Zone A
Branch 2,Customer_3006,South,ORD934028,LINE538907,Delivered,SHP940185,URGENT,2025-02-26,other issue,2025-01-28,Type 1,2025-01-30,2025-02-12,Product_6333,Description of item,405.05,Rep A,4746.72,Zone C
Branch 1,Customer_9765,South,ORD570788,LINE212626,Delivered,SHP211279,,2022-07-02,inflation impact,2022-05-26,Type 3,2022-05-28,2022-06-21,Product_5392,Description of item,433.29,Rep A,2210.99,Zone C
Branch 1,Customer_6134,West,ORD644787,LINE669154,Delivered,SHP418159,URGENT,2020-09-10,supply chain delay,2020-08-14,Type 3,2020-08-16,2020-08-28,Product_11084,Description of item,316.62,Rep D,5145.54,Zone A
Branch 2,Customer_8940,East,ORD444436,LINE753060,Processing,SHP557260,,2024-08-23,on track,2024-08-02,Type 3,2024-08-04,2024-08-23,Product_5499,Description of item,333.34,Rep A,2421.73,Zone C
Branch 1,Customer_5622,South,ORD838393,LINE453941,On Hold,SHP328961,URGENT,2025-04-25,other issue,2025-03-23,Type 3,2025-03-25,2025-04-13,Product_54,Description of item,213.88,Rep A,2238.92,Zone D
Branch 3,Customer_6202,East,ORD312641,LINE202242,Processing,SHP569444,,2024-07-30,on track,2024-07-13,Type 1,2024-07-15,2024-08-01,Product_11429,Description of item,273.39,Rep A,6606.34,Zone C
Branch 3,Customer_4885,East,ORD760108,LINE233093,Processing,SHP164329,,2023-05-07,severe weather,2023-03-22,Type 1,2023-03-24,2023-04-19,Product_3390,Description of item,157.34,Rep D,9455.47,Zone A
Branch 1,Customer_2824,South,ORD988854,LINE848363,Processing,SHP527470,,2024-04-11,production capacity limits,2024-03-12,Type 1,2024-03-14,2024-03-25,Product_1930,Description of item,289.06,Rep A,2994.11,Zone B
Branch 4,Customer_7844,South,ORD919612,LINE701489,Processing,SHP499095,,2021-01-05,supply chain delay,2020-12-09,Type 3,2020-12-11,2020-12-20,Product_4842,Description of item,204.51,Rep B,5302.19,Zone D
Branch 4,Customer_2459,West,ORD255714,LINE189327,Processing,SHP712308,,2025-02-25,other issue,2025-02-01,Type 3,2025-02-03,2025-02-18,Product_3251,Description of item,273.84,Rep D,9894.2,Zone A
Branch 3,Customer_6635,West,ORD445034,LINE855360,Delivered,SHP993022,,2024-08-20,on track,2024-08-04,Type 1,2024-08-06,2024-08-22,Product_10154,Description of item,21.16,Rep B,5317.24,Zone B
Branch 2,Customer_3320,East,ORD434540,LINE500842,Processing,SHP340288,URGENT,2020-06-01,factory shutdown,2020-05-19,Type 1,2020-05-21,2020-05-28,Product_4501,Description of item,468.17,Rep A,9342.77,Zone D
Branch 3,Customer_3655,North,ORD595841,LINE967018,Delivered,SHP551997,URGENT,2022-03-04,supplier price changes,2022-02-12,Type 3,2022-02-14,2022-02-22,Product_9183,Description of item,472.78,Rep D,7549.08,Zone C
Branch 3,Customer_1213,South,ORD417267,LINE832742,Delivered,SHP287905,,2024-07-20,holiday backlog,2024-06-29,Type 3,2024-07-01,2024-07-05,Product_7440,Description of item,33.89,Rep A,2836.01,Zone B
Branch 1,Customer_5845,North,ORD484987,LINE187468,Delivered,SHP583075,,2025-02-22,on track,2025-02-10,Type 1,2025-02-12,2025-02-22,Product_1535,Description of item,235.22,Rep D,1787.62,Zone D
Branch 2,Customer_9144,West,ORD301099,LINE361937,On Hold,SHP101405,URGENT,2022-04-08,on track,2022-03-12,Type 3,2022-03-14,2022-04-10,Product_6637,Description of item,370.74,Rep D,8739.89,Zone A
Branch 3,Customer_9219,South,ORD378286,LINE552229,On Hold,SHP945427,,2020-11-12,on track,2020-11-05,Type 1,2020-11-07,2020-11-12,Product_11006,Description of item,122.41,Rep C,2077.37,Zone B
Branch 2,Customer_9922,South,ORD774759,LINE771721,Shipped,SHP218307,,2023-06-03,inventory mismatch,2023-05-06,Type 3,2023-05-08,2023-05-16,Product_10975,Description of item,132.7,Rep B,2288.69,Zone C
Branch 2,Customer_7973,East,ORD372466,LINE781207,Delivered,SHP115514,,2024-09-21,on track,2024-08-31,Type 3,2024-09-02,2024-09-22,Product_8640,Description of item,243.32,Rep A,1745.22,Zone D
Branch 2,Customer_7773,East,ORD465567,LINE976957,Processing,SHP113606,,2022-08-16,supplier price changes,2022-07-22,Type 3,2022-07-24,2022-08-14,Product_11476,Description of item,285.53,Rep C,5224.38,Zone A
Branch 1,Customer_7338,North,ORD950508,LINE994675,Shipped,SHP890333,,2021-10-27,customs backlog,2021-09-30,Type 1,2021-10-02,2021-10-12,Product_2381,Description of item,43.69,Rep C,7308.74,Zone D
Branch 1,Customer_3668,West,ORD389530,LINE278161,Shipped,SHP614461,,2020-08-22,supply chain delay,2020-07-21,Type 3,2020-07-23,2020-08-04,Product_3070,Description of item,414.27,Rep B,9448.0,Zone A
Branch 3,Customer_6668,North,ORD918229,LINE533609,Delivered,SHP690349,,2022-01-31,shipping container shortage,2021-12-26,Type 1,2021-12-28,2022-01-22,Product_7902,Description of item,27.27,Rep B,7040.05,Zone C
Branch 2,Customer_3366,South,ORD233763,LINE435053,On Hold,SHP700032,URGENT,2021-02-26,on track,2021-02-05,Type 1,2021-02-07,2021-02-28,Product_5910,Description of item,406.2,Rep C,8113.44,Zone D
Branch 2,Customer_4911,North,ORD943593,LINE477797,On Hold,SHP276873,,2023-09-06,QA inspection delays,2023-08-16,Type 3,2023-08-18,2023-08-22,Product_1670,Description of item,235.93,Rep D,7400.02,Zone B
Branch 2,Customer_2719,North,ORD398097,LINE744125,Processing,SHP178612,,2024-08-16,production capacity limits,2024-07-28,Type 2,2024-07-30,2024-08-03,Product_2788,Description of item,417.97,Rep C,2286.25,Zone A
Branch 4,Customer_2328,North,ORD636645,LINE449702,Shipped,SHP541440,URGENT,2024-06-26,demand surge,2024-05-31,Type 1,2024-06-02,2024-06-17,Product_158,Description of item,441.7,Rep B,2085.62,Zone B
Branch 2,Customer_8425,South,ORD471102,LINE121791,Processing,SHP604954,,2023-03-18,inventory mismatch,2023-02-05,Type 2,2023-02-07,2023-03-05,Product_4342,Description of item,243.36,Rep A,4981.48,Zone A
Branch 2,Customer_6983,West,ORD914861,LINE829157,Processing,SHP728651,URGENT,2022-03-03,supplier price changes,2022-01-25,Type 2,2022-01-27,2022-02-12,Product_10210,Description of item,148.73,Rep C,7359.97,Zone A
Branch 3,Customer_5125,North,ORD481846,LINE663976,On Hold,SHP169372,,2025-02-28,other issue,2025-01-20,Type 2,2025-01-22,2025-02-11,Product_187,Description of item,186.33,Rep A,2974.81,Zone C
Branch 4,Customer_5218,South,ORD213766,LINE876104,Delivered,SHP810902,,2021-06-09,customs backlog,2021-05-06,Type 2,2021-05-08,2021-05-30,Product_5479,Description of item,26.74,Rep D,1697.32,Zone D
Branch 1,Customer_4887,West,ORD872443,LINE865286,Delivered,SHP936539,,2023-03-16,severe weather,2023-02-26,Type 1,2023-02-28,2023-03-10,Product_8512,Description of item,202.88,Rep D,8452.49,Zone D
Branch 3,Customer_5569,East,ORD286830,LINE163087,Processing,SHP624421,,2025-04-22,other issue,2025-03-18,Type 1,2025-03-20,2025-04-16,Product_4239,Description of item,59.75,Rep C,5154.14,Zone B
Branch 2,Customer_9679,East,ORD903223,LINE611486,Delivered,SHP909862,URGENT,2020-10-08,on track,2020-09-28,Type 3,2020-09-30,2020-10-08,Product_296,Description of item,461.94,Rep B,7353.0,Zone B
Branch 4,Customer_7510,North,ORD419706,LINE424821,Delivered,SHP464114,URGENT,2024-10-04,on track,2024-09-09,Type 3,2024-09-11,2024-10-05,Product_563,Description of item,485.55,Rep C,3058.8,Zone D
Branch 4,Customer_9751,West,ORD569201,LINE460773,Shipped,SHP420412,URGENT,2021-07-16,shipping container shortage,2021-06-25,Type 1,2021-06-27,2021-07-11,Product_11729,Description of item,155.98,Rep D,7036.96,Zone B
Branch 2,Customer_7392,West,ORD715740,LINE433857,Processing,SHP648295,,2020-08-15,on track,2020-07-20,Type 2,2020-07-22,2020-08-17,Product_2111,Description of item,307.47,Rep A,6204.33,Zone A
Branch 4,Customer_5353,South,ORD579324,LINE459309,Delivered,SHP282166,,2024-07-28,on track,2024-07-01,Type 2,2024-07-03,2024-07-30,Product_5981,Description of item,62.44,Rep C,8070.78,Zone D
Branch 4,Customer_2398,West,ORD363972,LINE734596,Shipped,SHP233360,URGENT,2020-06-02,on track,2020-05-23,Type 3,2020-05-25,2020-06-02,Product_1218,Description of item,403.03,Rep A,8028.98,Zone D
Branch 1,Customer_6396,South,ORD325373,LINE206432,On Hold,SHP770762,,2022-05-21,raw material shortage,2022-04-17,Type 3,2022-04-19,2022-05-03,Product_7760,Description of item,92.31,Rep A,3982.42,Zone A
Branch 3,Customer_9777,North,ORD202070,LINE787248,On Hold,SHP750669,,2020-09-19,COVID-19 disruption,2020-09-03,Type 1,2020-09-05,2020-09-15,Product_3121,Description of item,201.13,Rep A,4671.36,Zone D
Branch 1,Customer_4332,North,ORD327719,LINE981439,Processing,SHP619951,,2024-07-05,on track,2024-06-19,Type 2,2024-06-21,2024-07-05,Product_1736,Description of item,488.6,Rep C,4805.81,Zone D
Branch 3,Customer_8284,West,ORD973495,LINE142015,Processing,SHP653943,,2020-07-09,COVID-19 disruption,2020-06-25,Type 2,2020-06-27,2020-07-06,Product_2247,Description of item,168.48,Rep A,5201.76,Zone B
Branch 3,Customer_7766,South,ORD878246,LINE492216,Shipped,SHP920033,,2021-02-02,shipping container shortage,2021-01-07,Type 3,2021-01-09,2021-01-25,Product_10468,Description of item,168.53,Rep D,5041.37,Zone A
Branch 3,Customer_2006,West,ORD523644,LINE306890,Processing,SHP896432,,2020-05-10,factory shutdown,2020-04-09,Type 1,2020-04-11,2020-04-29,Product_5376,Description of item,48.02,Rep A,6823.7,Zone C
Branch 4,Customer_6586,South,ORD349866,LINE240486,Shipped,SHP655282,,2020-11-25,supply chain delay,2020-11-15,Type 3,2020-11-17,2020-11-21,Product_2683,Description of item,449.95,Rep B,947.43,Zone D
Branch 3,Customer_9367,North,ORD454002,LINE928840,Shipped,SHP118528,,2023-07-21,on track,2023-07-13,Type 3,2023-07-15,2023-07-22,Product_11499,Description of item,337.86,Rep D,4331.6,Zone C
Branch 2,Customer_7632,North,ORD817501,LINE463902,On Hold,SHP643518,,2021-08-08,on track,2021-07-26,Type 2,2021-07-28,2021-08-10,Product_10948,Description of item,249.65,Rep D,9772.27,Zone B
Branch 3,Customer_5086,South,ORD517436,LINE690634,Delivered,SHP857688,URGENT,2021-07-26,on track,2021-07-15,Type 2,2021-07-17,2021-07-27,Product_297,Description of item,168.64,Rep D,9886.91,Zone D
Branch 2,Customer_9548,East,ORD137825,LINE701658,On Hold,SHP540271,,2020-11-09,on track,2020-10-21,Type 2,2020-10-23,2020-11-09,Product_10736,Description of item,185.29,Rep A,6872.51,Zone C
Branch 2,Customer_3553,North,ORD379573,LINE195012,Processing,SHP864190,,2024-12-23,demand surge,2024-11-30,Type 3,2024-12-02,2024-12-15,Product_5853,Description of item,273.41,Rep A,2896.38,Zone D
Branch 1,Customer_9588,East,ORD917128,LINE335729,On Hold,SHP453025,,2020-09-20,on track,2020-09-14,Type 3,2020-09-16,2020-09-21,Product_4983,Description of item,482.72,Rep B,1233.23,Zone A
Branch 2,Customer_2827,East,ORD544355,LINE536345,On Hold,SHP394961,,2022-10-02,supplier price changes,2022-09-13,Type 3,2022-09-15,2022-09-25,Product_11883,Description of item,252.66,Rep A,6264.0,Zone A
Branch 4,Customer_4111,West,ORD919302,LINE309002,Processing,SHP642787,,2023-09-23,on track,2023-08-27,Type 3,2023-08-29,2023-09-23,Product_7894,Description of item,62.72,Rep C,4421.71,Zone A
Branch 3,Customer_9050,East,ORD182651,LINE847641,On Hold,SHP660565,,2020-10-25,supply chain delay,2020-09-21,Type 2,2020-09-23,2020-10-15,Product_8468,Description of item,147.17,Rep D,5089.5,Zone B
Branch 2,Customer_8264,West,ORD865785,LINE375267,Shipped,SHP647797,,2022-03-28,on track,2022-03-14,Type 3,2022-03-16,2022-03-28,Product_10602,Description of item,85.84,Rep C,9736.71,Zone C
Branch 2,Customer_7596,East,ORD245389,LINE969949,Shipped,SHP378607,URGENT,2022-02-10,inflation impact,2022-01-13,Type 1,2022-01-15,2022-02-01,Product_5077,Description of item,303.72,Rep D,6928.05,Zone A
Branch 4,Customer_9401,East,ORD406197,LINE676187,Shipped,SHP727721,,2023-11-17,on track,2023-10-23,Type 3,2023-10-25,2023-11-18,Product_11450,Description of item,488.84,Rep C,4380.17,Zone D
Branch 3,Customer_6006,East,ORD894437,LINE239966,On Hold,SHP232910,,2022-10-04,raw material shortage,2022-09-17,Type 3,2022-09-19,2022-09-25,Product_3159,Description of item,407.06,Rep B,1621.74,Zone C
Branch 1,Customer_9256,West,ORD918460,LINE424403,On Hold,SHP630250,,2021-04-08,customs backlog,2021-03-15,Type 2,2021-03-17,2021-04-02,Product_4601,Description of item,384.42,Rep C,4679.65,Zone A
Branch 2,Customer_4906,South,ORD579907,LINE671781,Shipped,SHP237093,,2022-11-26,inflation impact,2022-10-26,Type 1,2022-10-28,2022-11-22,Product_11979,Description of item,40.98,Rep B,5069.37,Zone C
Branch 1,Customer_7154,South,ORD775435,LINE355743,On Hold,SHP189111,,2020-06-17,on track,2020-06-01,Type 2,2020-06-03,2020-06-17,Product_2952,Description of item,353.71,Rep D,8279.08,Zone C
Branch 1,Customer_5242,South,ORD508403,LINE767528,On Hold,SHP700388,,2024-12-26,on track,2024-12-19,Type 3,2024-12-21,2024-12-26,Product_229,Description of item,336.17,Rep D,5784.02,Zone B
Branch 4,Customer_4492,East,ORD765912,LINE887361,Shipped,SHP352527,URGENT,2025-01-15,demand surge,2024-12-18,Type 2,2024-12-20,2025-01-09,Product_6736,Description of item,45.27,Rep A,6675.73,Zone C
Branch 4,Customer_1948,North,ORD465510,LINE381330,Shipped,SHP843290,,2022-10-25,inflation impact,2022-10-01,Type 1,2022-10-03,2022-10-10,Product_246,Description of item,411.69,Rep A,7438.26,Zone B
Branch 2,Customer_7315,East,ORD501507,LINE162708,Delivered,SHP185678,,2024-02-17,on track,2024-02-06,Type 1,2024-02-08,2024-02-18,Product_9405,Description of item,202.02,Rep B,6473.0,Zone D
Branch 4,Customer_6441,East,ORD724101,LINE771423,Delivered,SHP668602,URGENT,2023-09-25,on track,2023-09-16,Type 2,2023-09-18,2023-09-27,Product_6355,Description of item,313.86,Rep A,4656.0,Zone B
Branch 4,Customer_1229,South,ORD257199,LINE811099,Processing,SHP426165,,2022-02-06,inflation impact,2022-01-16,Type 1,2022-01-18,2022-01-29,Product_11263,Description of item,51.16,Rep B,4521.74,Zone D
Branch 3,Customer_2886,East,ORD246178,LINE442774,On Hold,SHP256106,URGENT,2024-02-05,on track,2024-01-24,Type 2,2024-01-26,2024-02-06,Product_11180,Description of item,203.74,Rep A,9407.61,Zone B
Branch 1,Customer_8082,East,ORD286158,LINE910368,On Hold,SHP276819,URGENT,2022-02-21,on track,2022-01-28,Type 2,2022-01-30,2022-02-22,Product_292,Description of item,200.24,Rep D,1850.84,Zone C
Branch 3,Customer_3126,West,ORD658944,LINE547167,On Hold,SHP689690,,2023-09-12,inventory mismatch,2023-09-02,Type 3,2023-09-04,2023-09-09,Product_5974,Description of item,288.41,Rep A,3910.43,Zone A
Branch 4,Customer_5339,South,ORD847773,LINE994914,Processing,SHP130594,,2021-07-19,customs backlog,2021-07-09,Type 2,2021-07-11,2021-07-16,Product_10676,Description of item,462.86,Rep D,2457.25,Zone D
Branch 1,Customer_7406,North,ORD207182,LINE731932,Delivered,SHP404837,,2024-11-14,on track,2024-11-10,Type 1,2024-11-12,2024-11-15,Product_4086,Description of item,341.3,Rep B,1977.54,Zone D
Branch 4,Customer_5519,East,ORD225104,LINE224818,On Hold,SHP831150,URGENT,2023-06-16,on track,2023-06-02,Type 1,2023-06-04,2023-06-18,Product_8776,Description of item,26.69,Rep B,4966.37,Zone B
Branch 3,Customer_5436,South,ORD880548,LINE323329,On Hold,SHP764963,,2023-05-11,inventory mismatch,2023-04-02,Type 3,2023-04-04,2023-05-01,Product_6592,Description of item,252.26,Rep D,525.54,Zone A
Branch 1,Customer_7995,North,ORD720773,LINE154995,Processing,SHP745304,,2025-01-02,production capacity limits,2024-11-17,Type 1,2024-11-19,2024-12-16,Product_2948,Description of item,498.2,Rep C,829.85,Zone D
Branch 2,Customer_6880,North,ORD704911,LINE728623,On Hold,SHP758143,,2022-04-03,supplier price changes,2022-03-20,Type 2,2022-03-22,2022-03-29,Product_11054,Description of item,60.51,Rep B,3022.59,Zone B
Branch 4,Customer_6230,North,ORD677901,LINE756959,Processing,SHP893581,,2022-04-07,on track,2022-03-20,Type 3,2022-03-22,2022-04-09,Product_684,Description of item,299.43,Rep D,7047.67,Zone D
Branch 3,Customer_7692,North,ORD728963,LINE543407,On Hold,SHP970084,URGENT,2021-07-07,on track,2021-07-01,Type 2,2021-07-03,2021-07-09,Product_2243,Description of item,410.17,Rep A,2606.5,Zone D
Branch 1,Customer_3270,West,ORD800522,LINE499002,Processing,SHP467962,,2020-06-11,on track,2020-05-13,Type 2,2020-05-15,2020-06-11,Product_2514,Description of item,37.81,Rep B,7626.64,Zone B
Branch 1,Customer_2719,East,ORD189382,LINE310286,Processing,SHP200447,,2023-12-13,on track,2023-12-04,Type 1,2023-12-06,2023-12-13,Product_6996,Description of item,65.46,Rep D,8115.57,Zone C
Branch 4,Customer_4629,South,ORD455148,LINE774509,Processing,SHP233523,,2023-10-15,on track,2023-10-01,Type 1,2023-10-03,2023-10-15,Product_846,Description of item,494.15,Rep C,2088.41,Zone D
Branch 2,Customer_4011,South,ORD318123,LINE108317,Processing,SHP843561,,2021-06-04,customs backlog,2021-05-04,Type 2,2021-05-06,2021-05-29,Product_3087,Description of item,398.71,Rep C,9260.16,Zone A
